news_id;title;publication_date;image_key;featured_image_filename;image_source_url;image_source_type;image_match_status;image_notes
WEB-2026-ENC;PANG at the European Navigation Conference 2026 in Vienna;2026-04-30;web-2026-enc;news-web-2026-enc.jpg;https://www.linkedin.com/posts/europeannavigationconference_thank-you-to-everyone-who-attended-and-supported-activity-7467145520952602624-uunC;official_event_linkedin;candidate_found;"ENC 2026 official event recap image; replace with the original PANG/Portelli photo if available."
WEB-2025-NATO;PANG at the NATO Advanced Training Course on Autonomous Sea Navigation;2025-10-04;web-2025-nato;news-web-2025-nato.jpg;https://www.linkedin.com/posts/ivane-abashidze-515a0439_it-was-my-honour-to-open-the-nato-conference-activity-7378450198026436608-5Haa;event_linkedin;candidate_found;Real photograph from the NATO Autonomous Sea Navigation event in Batumi.
WEB-2025-ENC;PANG at the European Navigation Conference 2025;2025-05-23;web-2025-enc;news-web-2025-enc.jpg;https://www.linkedin.com/posts/nordic-institute-of-navigation_last-week-the-european-navigation-conference-activity-7334305392924971008-YKui;official_event_linkedin;candidate_found;Real ENC 2025 event photograph. Prefer Salvatore Gaglione/PANG original conference photo if available.
WEB-2025-ION-ITM;PANG at ION ITM 2025 in Long Beach;2025-01-30;web-2025-ion-itm;news-web-2025-ion-itm.jpg;https://www.linkedin.com/posts/brandywine-communications_two-weeks-until-itmptti-2025-brandywine-activity-7284962477140754432-bC59;event_graphic_linkedin;candidate_found;"ION ITM/PTTI 2025 event graphic; suitable fallback until a PANG conference photo is located."
WEB-2024-NAVITEC;PANG at ESA NAVITEC 2024;2024-12-13;web-2024-navitec;news-web-2024-navitec.jpg;https://www.linkedin.com/posts/antoine-grenier_gnss-axc-galileo-activity-7272571391080615937-BvPK;event_photo_linkedin;candidate_found;Real NAVITEC 2024 venue screen at ESA ESTEC.
WEB-2024-METROSEA;PANG at IEEE MetroSea 2024 — Best Poster Award;2024-10-16;web-2024-metrosea;news-web-2024-metrosea.jpg;https://www.linkedin.com/posts/silvia-ascione_best-poster-award-at-metrosea-2024-activity-7253747903611985920-dozT;pang_member_linkedin;candidate_found;"Best Poster Award certificate; directly tied to the PANG news."
WEB-2024-ION-GNSS;PANG at ION GNSS+ 2024;2024-09-20;web-2024-ion-gnss;news-web-2024-ion-gnss.jpg;https://www.linkedin.com/posts/salvatore-gaglione-76a77559_pang-activity-7243031034441682944-9qo-;pang_linkedin;candidate_found;PANG-specific ION GNSS+ 2024 photograph from Salvatore Gaglione’s post.
DRUPAL-241;PANG partecipation in ENC 2023 conference;2023-06-04;drupal-241;news-drupal-241.jpg;https://www.linkedin.com/posts/europeannavigationconference_enc-enc2023-activity-7069671858513539072-9rj4;official_event_linkedin;candidate_found;ENC 2023 stage/event image.
DRUPAL-223;PANG partecipation to EUSPA Raw Measurement Meeting;2022-05-19;drupal-223;news-drupal-223.jpg;https://www.euspa.europa.eu/newsroom-events/news-archive/gnss-raw-measurements-task-force-meeting-registration-now-open;official_event_page;candidate_found;Official EUSPA 2022 Raw Measurements Task Force event image. Check EUSPA photo reuse permission before publishing.
DRUPAL-182;Salvatore Gaglione Vice-President of IAIN;2021-11-28;drupal-182;news-drupal-182.jpg;https://www.pang.uniparthenope.it/node/182;legacy_pang_page;candidate_found;Legacy PANG news page. If no original image is recoverable, use an IAIN logo/officers image.
DRUPAL-180;PANG partecipation to MetroSea 2021 conference;2021-04-07;drupal-180;news-drupal-180.jpg;https://www.metrosea.org/ms2021/final-program;official_event_page;candidate_found;Official MetroSea 2021 event/program image.
DRUPAL-179;PANG partecipation to MetroSea 2019 conference;2019-10-14;drupal-179;news-drupal-179.jpg;https://www.metrosea.org/ms2019/call-sponsors-and-exhibits;official_event_page;candidate_found;MetroSea 2019 event photograph from official site.
DRUPAL-176;PANG partecipation in ENC 2019 conference;2019-04-28;drupal-176;news-drupal-176.jpg;https://enc-series.org/encseries/;official_event_page;candidate_found;Use the ENC Series archive/2019 branding or a 2019 event photograph from the archive.
DRUPAL-174;PANG partecipation in IAIN 2018 conference;2019-01-28;drupal-174;news-drupal-174.jpg;https://iainav.org/;official_organization_page;candidate_found;Use an official IAIN World Congress/IAIN image for the 2018 conference.
