news_id;title;image_role;filename;width_px;height_px;alt_text;source_type;source_url;status;notes
DRUPAL-117;ESA awarded PANG as one of the first 50 users of Galileo Systems;featured;DRUPAL-117/featured.jpg;668;884;ESA awarded PANG as one of the first 50 users of Galileo Systems;manual_selection;;ready;Selected manually for publication.
DRUPAL-181;Anna Innac awarded at MetroSea 2018;featured;DRUPAL-181/news-drupal-181.jpg;1985;1372;Anna Innac awarded at MetroSea 2018;manual_selection;;ready;Selected manually for publication.
DRUPAL-182;Salvatore Gaglione Vice-President of IAIN;featured;DRUPAL-182/news-drupal-182.jpg;340;620;Salvatore Gaglione Vice-President of IAIN;manual_selection;;ready;Selected manually for publication.
DRUPAL-241;PANG partecipation in ENC 2023 conference;featured;DRUPAL-241/news-drupal-241.jpeg;1600;1200;PANG partecipation in ENC 2023 conference;manual_selection;;ready;Selected manually for publication.
WEB-2024-IAIN;PANG at the IAIN World Congress 2024 in Beijing;featured;WEB-2024-IAIN/featured.jpg;1536;960;PANG at the IAIN World Congress 2024 in Beijing;manual_selection;;ready;Selected manually for publication.
WEB-2024-IAIN;PANG at the IAIN World Congress 2024 in Beijing;gallery;WEB-2024-IAIN/01.jpeg;1280;1706;PANG at the IAIN World Congress 2024 in Beijing;manual_selection;;ready;Selected manually for publication.
WEB-2024-IAIN;PANG at the IAIN World Congress 2024 in Beijing;gallery;WEB-2024-IAIN/02.jpg;1440;960;PANG at the IAIN World Congress 2024 in Beijing;manual_selection;;ready;Selected manually for publication.
WEB-2024-IAIN;PANG at the IAIN World Congress 2024 in Beijing;gallery;WEB-2024-IAIN/03.jpeg;800;533;PANG at the IAIN World Congress 2024 in Beijing;manual_selection;;ready;Selected manually for publication.
WEB-2024-ION-GNSS;PANG at ION GNSS+ 2024;featured;WEB-2024-ION-GNSS/featured.jpg;991;567;PANG at ION GNSS+ 2024;manual_selection;;ready;Selected manually for publication.
WEB-2024-ION-GNSS;PANG at ION GNSS+ 2024;gallery;WEB-2024-ION-GNSS/01.jpg;1536;2048;PANG at ION GNSS+ 2024;manual_selection;;ready;Selected manually for publication.
WEB-2024-ION-GNSS;PANG at ION GNSS+ 2024;gallery;WEB-2024-ION-GNSS/02.jpg;2048;1536;PANG at ION GNSS+ 2024;manual_selection;;ready;Selected manually for publication.
WEB-2024-ION-GNSS;PANG at ION GNSS+ 2024;gallery;WEB-2024-ION-GNSS/03.jpg;2048;1536;PANG at ION GNSS+ 2024;manual_selection;;ready;Selected manually for publication.
WEB-2024-METROSEA;PANG at IEEE MetroSea 2024 — Best Poster Award;featured;WEB-2024-METROSEA/featured.jpeg;480;853;PANG at IEEE MetroSea 2024 — Best Poster Award;manual_selection;;ready;Selected manually for publication.
WEB-2024-METROSEA;PANG at IEEE MetroSea 2024 — Best Poster Award;gallery;WEB-2024-METROSEA/01.jpeg;1600;1236;PANG at IEEE MetroSea 2024 — Best Poster Award;manual_selection;;ready;Selected manually for publication.
WEB-2024-METROSEA;PANG at IEEE MetroSea 2024 — Best Poster Award;gallery;WEB-2024-METROSEA/02.jpeg;480;640;PANG at IEEE MetroSea 2024 — Best Poster Award;manual_selection;;ready;Selected manually for publication.
WEB-2025-ENC;PANG at the European Navigation Conference 2025;featured;WEB-2025-ENC/featured.jpeg;800;509;PANG at the European Navigation Conference 2025;manual_selection;;ready;Selected manually for publication.
WEB-2025-ENC;PANG at the European Navigation Conference 2025;gallery;WEB-2025-ENC/01.jpeg;2048;1536;PANG at the European Navigation Conference 2025;manual_selection;;ready;Selected manually for publication.
WEB-2025-ION-ITM;PANG at ION ITM 2025 in Long Beach;featured;WEB-2025-ION-ITM/featured.jpeg;1600;1200;PANG at ION ITM 2025 in Long Beach;manual_selection;;ready;Selected manually for publication.
WEB-2025-ION-ITM;PANG at ION ITM 2025 in Long Beach;gallery;WEB-2025-ION-ITM/01.jpeg;1280;1707;PANG at ION ITM 2025 in Long Beach;manual_selection;;ready;Selected manually for publication.
WEB-2025-ION-ITM;PANG at ION ITM 2025 in Long Beach;gallery;WEB-2025-ION-ITM/02.jpeg;2048;1536;PANG at ION ITM 2025 in Long Beach;manual_selection;;ready;Selected manually for publication.
WEB-2025-NATO;PANG at the NATO Advanced Training Course on Autonomous Sea Navigation;featured;WEB-2025-NATO/featured.jpeg;1280;1280;PANG at the NATO Advanced Training Course on Autonomous Sea Navigation;manual_selection;;ready;Selected manually for publication.
WEB-2026-ENC;PANG at the European Navigation Conference 2026 in Vienna;featured;WEB-2026-ENC/featured.jpeg;1152;1536;PANG at the European Navigation Conference 2026 in Vienna;manual_selection;;ready;Selected manually for publication.
WEB-2026-ENC;PANG at the European Navigation Conference 2026 in Vienna;gallery;WEB-2026-ENC/01.jpeg;1600;1200;PANG at the European Navigation Conference 2026 in Vienna;manual_selection;;ready;Selected manually for publication.
WEB-2026-ENC;PANG at the European Navigation Conference 2026 in Vienna;gallery;WEB-2026-ENC/02.jpeg;2048;556;PANG at the European Navigation Conference 2026 in Vienna;manual_selection;;ready;Selected manually for publication.
