news_id,origin,legacy_nid,title,publication_date,event_start_date,event_end_date,category,body_text,body_html,editorial_status,source_url_1,source_url_2,legacy_attachment_fids,featured_image_url,featured_image_status,review_notes,image_key,featured_image_filename,image_source_url,image_source_type,image_match_status,image_notes
WEB-2026-ENC,web_research,,PANG at the European Navigation Conference 2026 in Vienna,2026-04-30,2026-04-28,2026-04-30,Conferences,"The PArthenope Navigation Group (PANG) participated in the European Navigation Conference 2026, held in Vienna from 28 to 30 April 2026. Gabriele Portelli presented the contribution “Analysis of Different Ambiguity Validation Approaches for Kinematic PPP-AR using IGS Real-Time Services”, addressing ambiguity validation strategies for high-precision real-time GNSS positioning. The work results from a collaborative research activity involving PANG, TU Delft and the European Commission Joint Research Centre (JRC), highlighting the group's international cooperation in GNSS and Precise Point Positioning. During ENC 2026, Salvatore Gaglione also represented the Italian Institute of Navigation in the meetings of the European Group of Institutes of Navigation (EUGIN) and the International Association of Institutes of Navigation (IAIN), where he serves as Senior Vice-President.",,ready,https://it.linkedin.com/in/salvatore-gaglione-76a77559,,,https://www.linkedin.com/posts/europeannavigationconference_thank-you-to-everyone-who-attended-and-supported-activity-7467145520952602624-uunC,candidate_found,Verified through Salvatore Gaglione public LinkedIn activity; title and collaboration details explicitly reported.,web-2026-enc,news-web-2026-enc.jpg,https://www.linkedin.com/posts/europeannavigationconference_thank-you-to-everyone-who-attended-and-supported-activity-7467145520952602624-uunC,official_event_linkedin,candidate_found,ENC 2026 official event recap image; replace with the original PANG/Portelli photo if available.
WEB-2025-NATO,web_research,,PANG at the NATO Advanced Training Course on Autonomous Sea Navigation,2025-10-04,2025-09-28,2025-10-04,International Activities,"PANG contributed to the NATO Science for Peace and Security Advanced Training Course “Autonomous Sea Navigation”, held in Batumi, Georgia, from 28 September to 4 October 2025. Salvatore Gaglione and Giorgio Budillon from the University of Naples Parthenope participated as invited speakers. The international training programme addressed interdisciplinary challenges associated with autonomous sea navigation, including navigation technologies, maritime systems, safety, environmental data and autonomous maritime operations. The participation reflects PANG's continuing activities in maritime navigation and technologies supporting increasingly autonomous maritime operations.",,ready,https://nato-atc-autonomous-sea-navigation.org/invited_speakers.html,https://nato-atc-autonomous-sea-navigation.org/event_programme.html,,https://www.linkedin.com/posts/ivane-abashidze-515a0439_it-was-my-honour-to-open-the-nato-conference-activity-7378450198026436608-5Haa,candidate_found,Invited speakers and presentation topics verified on the official event website.,web-2025-nato,news-web-2025-nato.jpg,https://www.linkedin.com/posts/ivane-abashidze-515a0439_it-was-my-honour-to-open-the-nato-conference-activity-7378450198026436608-5Haa,event_linkedin,candidate_found,Real photograph from the NATO Autonomous Sea Navigation event in Batumi.
WEB-2025-ENC,web_research,,PANG at the European Navigation Conference 2025,2025-05-23,2025-05-21,2025-05-23,Conferences,"PANG participated in the European Navigation Conference 2025, held in Wrocław, Poland, from 21 to 23 May 2025. The group presented the research “On the Context-Aware GNSS Navigation: Test of a k-Nearest Neighbors Classifier in Different Environments”, by Giovanni Cappello, Antonio Angrisano, Ciro Gioia, Antonio Maratea and Salvatore Gaglione. The study investigates a machine-learning approach for automatically distinguishing open-sky and obstructed GNSS environments using satellite geometry, visibility and carrier-to-noise measurements. The work supports the development of context-aware and adaptive GNSS navigation techniques.",,ready,https://www.mdpi.com/2673-4591/126/1/10,https://it.linkedin.com/in/salvatore-gaglione-76a77559,,https://www.linkedin.com/posts/nordic-institute-of-navigation_last-week-the-european-navigation-conference-activity-7334305392924971008-YKui,candidate_found,"Event, paper title and authors verified through the published ENC proceedings and public LinkedIn activity.",web-2025-enc,news-web-2025-enc.jpg,https://www.linkedin.com/posts/nordic-institute-of-navigation_last-week-the-european-navigation-conference-activity-7334305392924971008-YKui,official_event_linkedin,candidate_found,Real ENC 2025 event photograph. Prefer Salvatore Gaglione/PANG original conference photo if available.
WEB-2025-ION-ITM,web_research,,PANG at ION ITM 2025 in Long Beach,2025-01-30,2025-01-27,2025-01-30,Conferences,"PANG participated in the 2025 International Technical Meeting of The Institute of Navigation (ION ITM), held in Long Beach, California. Giovanni Cappello presented PANG research on GNSS meta-signals developed with Ciro Gioia, Antonio Angrisano and Salvatore Gaglione. The contribution “The Synthetic Meta-Signal Observations: A Multipath Resistance Assessment” investigated the robustness of synthetic meta-signal measurements to multipath effects using Galileo and BeiDou observations, including data collected in degraded urban conditions. The participation strengthened PANG's international activity in advanced GNSS signal processing and resilient positioning.",,ready,https://www.ion.org/publications/abstract.cfm?articleID=19974,https://it.linkedin.com/in/geom-domenico-cappello-191b69b4,,https://www.linkedin.com/posts/brandywine-communications_two-weeks-until-itmptti-2025-brandywine-activity-7284962477140754432-bC59,candidate_found,"Corrected after deeper verification: the first-place young researcher award previously associated with this event actually refers to IEEE Metrology for Aerospace 2025, not ION ITM 2025.",web-2025-ion-itm,news-web-2025-ion-itm.jpg,https://www.linkedin.com/posts/brandywine-communications_two-weeks-until-itmptti-2025-brandywine-activity-7284962477140754432-bC59,event_graphic_linkedin,candidate_found,ION ITM/PTTI 2025 event graphic; suitable fallback until a PANG conference photo is located.
WEB-2024-NAVITEC,web_research,,PANG at ESA NAVITEC 2024,2024-12-13,2024-12-11,2024-12-13,Conferences,"PANG participated in NAVITEC 2024, the 11th Workshop on Satellite Navigation Technology, held at ESA-ESTEC in Noordwijk, The Netherlands, from 11 to 13 December 2024. NAVITEC brings together the international satellite-navigation community to discuss emerging technologies for Positioning, Navigation and Timing, including resilient PNT, advanced navigation algorithms, GNSS signal processing and hybrid positioning technologies. PANG's participation provided an opportunity to exchange research results and perspectives with the international GNSS community.",,draft_needs_details,https://ieee-aess.org/event/conference/11th-workshop-satellite-navigation-technology,https://it.linkedin.com/in/giuseppe-aulicino-575a115b,,https://www.linkedin.com/posts/antoine-grenier_gnss-axc-galileo-activity-7272571391080615937-BvPK,candidate_found,Participation and event dates verified; PANG participants and specific contribution still need confirmation before publication.,web-2024-navitec,news-web-2024-navitec.jpg,https://www.linkedin.com/posts/antoine-grenier_gnss-axc-galileo-activity-7272571391080615937-BvPK,event_photo_linkedin,candidate_found,Real NAVITEC 2024 venue screen at ESA ESTEC.
WEB-2024-METROSEA,web_research,,PANG at IEEE MetroSea 2024 — Best Poster Award,2024-10-16,2024-10-14,2024-10-16,Awards,"PANG participated in the 2024 IEEE International Workshop on Metrology for the Sea (MetroSea), held in Portorož, Slovenia, from 14 to 16 October 2024. The conference included PANG contributions in maritime navigation, ship dynamics, marine measurement technologies and geomatics. The PANG research “Comparison of Linear and Rank-Correlation for the Sea State Estimation”, by Silvia Ascione, Vincenzo Piscopo and Antonio Scamardella, received the Best Poster Award. The study contributes to PANG research on sea-state estimation, ship dynamics and maritime operations.",,ready,https://metrosea.org/files/IEEEMetroSea2024_FinalProgram.pdf,https://it.linkedin.com/in/annamaria-marinaro-377778175,,https://www.linkedin.com/posts/silvia-ascione_best-poster-award-at-metrosea-2024-activity-7253747903611985920-dozT,candidate_found,Paper/authors verified in official programme; public LinkedIn activity confirms Best Poster Award.,web-2024-metrosea,news-web-2024-metrosea.jpg,https://www.linkedin.com/posts/silvia-ascione_best-poster-award-at-metrosea-2024-activity-7253747903611985920-dozT,pang_member_linkedin,candidate_found,Best Poster Award certificate; directly tied to the PANG news.
WEB-2024-ION-GNSS,web_research,,PANG at ION GNSS+ 2024,2024-09-20,2024-09-16,2024-09-20,Conferences,"PANG participated in ION GNSS+ 2024 with the contribution “Analysis of HAS Performance in Pedestrian Navigation with Different Grade Devices”. The research involved Antonio Angrisano, Milad Bagheri, Giovanni Cappello, Paolo Dabove, Silvio Del Pizzo, Salvatore Gaglione, Ciro Gioia, Gabriele Portelli and Salvatore Troisi. The study investigated Galileo High Accuracy Service corrections for pedestrian positioning using receivers of different grades, assessing benefits and limitations in challenging environments and with low-cost devices.",,ready,https://www.ion.org/publications/abstract.cfm?articleID=19785,,,https://www.linkedin.com/posts/salvatore-gaglione-76a77559_pang-activity-7243031034441682944-9qo-,candidate_found,Paper title and authors verified through ION technical content.,web-2024-ion-gnss,news-web-2024-ion-gnss.jpg,https://www.linkedin.com/posts/salvatore-gaglione-76a77559_pang-activity-7243031034441682944-9qo-,pang_linkedin,candidate_found,PANG-specific ION GNSS+ 2024 photograph from Salvatore Gaglione’s post.
DRUPAL-241,legacy_drupal,241,PANG partecipation in ENC 2023 conference,2023-06-04,,,News,,,published_legacy,,,264,https://www.linkedin.com/posts/europeannavigationconference_enc-enc2023-activity-7069671858513539072-9rj4,candidate_found,Imported from published Drupal News node; original date derived from Drupal created timestamp.,drupal-241,news-drupal-241.jpg,https://www.linkedin.com/posts/europeannavigationconference_enc-enc2023-activity-7069671858513539072-9rj4,official_event_linkedin,candidate_found,ENC 2023 stage/event image.
DRUPAL-223,legacy_drupal,223,PANG partecipation to EUSPA Raw Measurement Meeting,2022-05-19,,,News,,,published_legacy,,,,https://www.euspa.europa.eu/newsroom-events/news-archive/gnss-raw-measurements-task-force-meeting-registration-now-open,candidate_found,Imported from published Drupal News node; original date derived from Drupal created timestamp.,drupal-223,news-drupal-223.jpg,https://www.euspa.europa.eu/newsroom-events/news-archive/gnss-raw-measurements-task-force-meeting-registration-now-open,official_event_page,candidate_found,Official EUSPA 2022 Raw Measurements Task Force event image. Check EUSPA photo reuse permission before publishing.
DRUPAL-182,legacy_drupal,182,Salvatore Gaglione Vice-President of IAIN,2021-11-28,,,News,,,published_legacy,,,,https://www.pang.uniparthenope.it/node/182,candidate_found,Imported from published Drupal News node; original date derived from Drupal created timestamp.,drupal-182,news-drupal-182.jpg,https://www.pang.uniparthenope.it/node/182,legacy_pang_page,candidate_found,"Legacy PANG news page. If no original image is recoverable, use an IAIN logo/officers image."
