acronym;title;description;programme;start_year;end_year;status;selected_project;responsible_person;responsible_role;project_url;source_url;research_areas
ARES;Robotica autonoma per la nave estesa;"ARES aims at developing a new paradigm in the marine technology area: a complex system – the ship with all the subsystems (for control, measurement, etc.) – integrated with new marine robotic technologies (a cooperative system of underwater and surface drones), to extend its operability and flexibility of use in many missions: environmental emergencies, support to the defense system, deployment and maintenance for marine renewable energy devices, off-shore platforms, etc. The technology challenge is the development of a new RD&I ecosystem in the shipbuilding and marine robotic sector, which combines the strategic perspective of large industries (to develop dual-use systems integrated into a IoT framework) with the ship-owner perspective (to acquire new marine vehicle capable of cooperative working with swarm of drones). The ambition is to develop research in the robotic framework empowering, by the creation of spin-offs and start-ups, a layer of SME capable of developing robotic vehicles, maritime instrumentation and sensors, ICT systems, data control and analysis, remote control and coordination.""";PON “Ricerca e Innovazione” 2014-2020 e FSC, di cui all’Avviso n. 1735/Ric del 13 luglio 2017;2017;;completed;no;;;;;Navigation
TME;Processo Automatico per l'Implementazione di Tecnologie per la Mobilità Efficiente Navale;"""Inglese: The TME project has as its purpose the development of a process technology capable of achieving, with the minimum contribution of the design engineer, the automation of production processes. The T ME project intends to work on the development of the production process of retrofitting boats with Dual Fuel and hydrofoil technologies through the use of equipment equipped with sensors for the law of data, software and specific algorithms. The project aims at a high level of automation of the entire retrofit process of boats, from the acquisition of geometric and center of gravity data of the vessels, to their use for the processing of projects and to the processing of kits that will be automated everything in order to minimize the contribution of the design engineer, moreover it also intends to automate all the experimental aspects for the acquisition of navigation performance and to automate the processing of documentation for the certifying body. The process involves an initial cognitive phase of the vessel to which structural and engine changes are to be made. Once the hull of the boat has been analyzed, a software will process a parameterization of the sheets based on the structural characteristics of the vessel. This will allow to draw up structural calculations of the sheet appendages applied to the hull. The structural and engine analysis will also make it possible to identify the possible Identities for the retrofit installation of the dual fuel / hybrid system. The analysis and control software must at the same time identify the best configuration for installing the foils. The survey data will allow to automatically formulate the design data of the new hulls with retrofit foil, useful for producing the documentation for the purpose of obtaining the homologation certificate from the reference bodies. """;PON I&C 2014-2020, di cui al D.M. 5 marzo 2018 Capo III;2019;;completed;no;Antonio Scamardella;Principal Investigator;;https://amministrazionetrasparente.uniparthenope.it/page/5/bandi-di-concorso.html?p=132;Navigation
SMILE;Satellite Multicostellation Identification techniques for Liable Enhahced applications;The project aims to develop a component (called i-Cometa) whose level of innovation is such as to make it essential for the development of sustainable mobility, through social innovation actions such as Car Sharing / Boat Sharing / Fleet Management / Easy Parking, in a context where the Smart Cities paradigm is declined according to a Human Vision, that is, according to a perspective that focuses on the needs of citizens / communities as the main actors of urban intelligence.;Bando Periodico Riservato alle PMI – BANDO TEMATICO 04 “Navigazione e Osservazione della Terra: utilizzo delle infrastrutture spaziali nazionali e comunitarie”;2014;;completed;yes;Salvatore Gaglione;Principal Investigator;;;Positioning
CARINA;CAR sharing Integrated NAvigation system;The project aims to develop a component (called i-Cometa) whose level of innovation is such as to make it essential for the development of sustainable mobility, through social innovation actions such as Car Sharing / Boat Sharing / Fleet Management / Easy Parking, in a context where the Smart Cities paradigm is declined according to a Human Vision, that is, according to a perspective that focuses on the needs of citizens / communities as the main actors of urban intelligence.;POR CAMPANIA FESR  2007-2013 (interventi a favore delle PMI e degli organismi di ricerca - sportello dell'innovazione di cui al D.D. n. 1 del 5/2/2014;2014;;completed;no;Salvatore Gaglione;Principal Investigator;;;"Positioning; Navigation"
MARELAB;Centro Sperimentale di Sviluppo delle Competenze nell'area dell'Economia del Mare e dei Trasporti Marittimi;MARELAB is the Experimental Centre for Skills Development in the Sea Economy and Maritime Transport sector, promoted by Regione Campania. It connects education, industry and public institutions through analysis of training and skills needs, development and updating of professional profiles and regional qualifications, and specialised training and incubation activities. Its continuing activities address the digital and green transition of the maritime sector and include advanced training in marine geophysical surveying and offshore operations in collaboration with the University of Naples Parthenope, Next Geosolutions and ForMare.;"Regione Campania; established under POR FSE 2007/2013 and subsequently strengthened through POR Campania FSE 2014/2020 and later regional initiatives";2009;;ongoing;no;Salvatore Gaglione;Partener;https://www.marelab.info;https://www.marelab.info | https://www.poloformare.it/marelab/ | https://europa.regione.campania.it/wp-content/uploads/2022/10/Blue-Growth_Position-Paper-S3-2021-2027.pdf;"Navigation; Geospatial Technologies"
;Sicurezza della Navigazione: Sistema di Monitoraggio dei moti nave e dei loro effetti sulle persone imbarcate ai fini del miglioramento della sicurezza e dell’ergonomia a bordo;;Legge Regionale N.5 del 28.03.2002 per l’annualità 2009;2009;;completed;no;Salvatore Gaglione;Principal Investigator;;;Navigation
MANATEE;Monitoring and mApping of mariNe hAbitat with inTegrated gEomatics technologiEs;Development and testing of a visual-inertial-pressure underwater mapping system for ROVs, integrating optical, inertial and pressure sensors for marine-habitat monitoring and mapping.;PNRR – PRIN 2022;2023;;completed;no;Silvio Del Pizzo;Principal Investigator;;https://bandi.mur.gov.it/bandi.php/public/fellowship/id_fellow/255362;Geospatial Technologies
Smart PUFFIN;Sistema subacqueo di posizionamento intelligente per il settore ambientale che utilizza l’intelligenza artificiale;Research project on an intelligent underwater positioning system for environmental applications using artificial intelligence.;PNRR – PRIN 2022;2023;;completed;yes;Silvio Del Pizzo;Principal Investigator;;https://bandi.mur.gov.it/bandi.php/public/cercaFellowship?bb_type_code=NAPARTH;"Positioning; Geospatial Technologies"
TWINMED;Master Course on the Twin Transition of the Maritime Industry in the South Mediterranean Region;International maritime education and training project focused on the twin digital and green transition of the maritime industry in the South Mediterranean region.;Erasmus+ / CBHE;2026;;ongoing;no;Salvatore Gaglione;Partener;;https://amministrazionetrasparente.uniparthenope.it/page/76/concorsi-scaduti.html?p=5;Navigation
EMPATHY;Enhanced Marine Pollution Emergency Actions To preserve the ocean Health and the safetY of ship and navigation;PRIN 2022 project addressing emergency actions after marine pollution events, with research on ship and navigation safety, collision/outflow scenarios, structural survivability and reduction of environmental impacts.;PRIN 2022 - NextGenerationEU / PNRR, Mission 4 Component 2 Investment 1.1;2023;;completed;yes;Vincenzo Piscopo;Principal Investigator;;https://www.mur.gov.it/sites/default/files/2023-05/Decreto%20Direttoriale%20n.%20742%20del%2030-05-2023%20-%20PE8_Allegato%20A.pdf | https://www.sciencedirect.com/science/article/pii/S0951833925000036;Navigation
MADELEINE;MeAsurement of sea state conDitions to monitor the ship fatiguE Life and Enhance IN real-time conditions the safEty of navigation;PRIN 2022 PNRR project developing methods to estimate sea-state conditions from onboard ship-motion measurements, supporting real-time navigation safety and assessment of structural fatigue life.;PRIN 2022 PNRR - NextGenerationEU, Mission 4 Component 2 Investment 1.1;2023;;completed;no;Vincenzo Piscopo;Partner;https://www.unime.it/ricerca/progetti-finanziati/progetti-finanziati-su-risorse-nazionali-pubbliche/prin-pnrr-2022-0;https://www.unime.it/ricerca/progetti-finanziati/progetti-finanziati-su-risorse-nazionali-pubbliche/prin-pnrr-2022-0 | https://www.sciencedirect.com/science/article/pii/S0029801825019420;Navigation
