cid,original_name,normalized_name,surname_key,initial_key,parse_method,ambiguous_group
1,GAGLIONE S.,Salvatore Gaglione,GAGLIONE,S,initial-last,no
2,Angrisano A.,Antonio Angrisano,ANGRISANO,A,initial-last,no
3,Gioia C.,Ciro Gioia,GIOIA,C,initial-last,no
4,Robustelli U.,Umberto Robustelli,ROBUSTELLI,U,initial-last,no
5,Vultaggio M.,Mario Vultaggio,VULTAGGIO,M,initial-last,no
6,ANGRISANO A,Antonio Angrisano,ANGRISANO,A,initial-last,no
7,GIOIA C,Ciro Gioia,GIOIA,C,initial-last,no
8,VULTAGGIO M,Mario Vultaggio,VULTAGGIO,M,initial-last,no
9,ROBUSTELLI U,Umberto Robustelli,ROBUSTELLI,U,initial-last,no
10,SANTAMARIA R,R Santamaria,SANTAMARIA,R,initial-last,no
11,PUGLIANO G,Giovanni Pugliano,PUGLIANO,G,initial-last,no
12,ROBUSTELLI R,R Robustelli,ROBUSTELLI,R,initial-last,no
13,PACIFICO A,A Pacifico,PACIFICO,A,initial-last,no
14,COZZOLINO T,T Cozzolino,COZZOLINO,T,initial-last,no
15,DE LELLIS E,E De Lellis,DE LELLIS,E,initial-last,no
16,CORRARO F,F Corraro,CORRARO,F,initial-last,no
17,CINIGLIO U,U Ciniglio,CINIGLIO,U,initial-last,no
18,CANZOLINO P,P Canzolino,CANZOLINO,P,initial-last,no
19,GARBARINO L,L Garbarino,GARBARINO,L,initial-last,no
20,NASTRO V,V Nastro,NASTRO,V,initial-last,no
21,CIABURRI M,M Ciaburri,CIABURRI,M,initial-last,no
22,DEL CORE G,Giuseppe Del Core,DEL CORE,G,initial-last,no
23,VACCARO C,C Vaccaro,VACCARO,C,initial-last,no
24,D'AVANZO M,M D'Avanzo,D AVANZO,M,initial-last,no
25,GERVASONI P,P Gervasoni,GERVASONI,P,initial-last,no
26,GAGLIONE S,Salvatore Gaglione,GAGLIONE,S,initial-last,no
27,"ANGRISANO, A",Antonio Angrisano,ANGRISANO,A,comma,no
28,"GAGLIONE, S",Salvatore Gaglione,GAGLIONE,S,comma,no
29,"PACIFICO, A",A Pacifico,PACIFICO,A,comma,no
30,"VULTAGGIO, M",Mario Vultaggio,VULTAGGIO,M,comma,no
31,"GIOIA, C",Ciro Gioia,GIOIA,C,comma,no
32,"ROBUSTELLI, U",Umberto Robustelli,ROBUSTELLI,U,comma,no
33,"SANTAMARIA, R",R Santamaria,SANTAMARIA,R,comma,no
34,"PUGLIANO, G",Giovanni Pugliano,PUGLIANO,G,comma,no
35,"ROBUSTELLI, R",R Robustelli,ROBUSTELLI,R,comma,no
36,"DE LELLIS, E",E De Lellis,DE LELLIS,E,comma,no
37,"CORRARO, F",F Corraro,CORRARO,F,comma,no
38,"CINIGLIO, U",U Ciniglio,CINIGLIO,U,comma,no
39,"CANZOLINO, P",P Canzolino,CANZOLINO,P,comma,no
40,"GARBARINO, L",L Garbarino,GARBARINO,L,comma,no
41,"NASTRO, V",V Nastro,NASTRO,V,comma,no
42,"CIABURRI, M",M Ciaburri,CIABURRI,M,comma,no
43,"DEL CORE, G",Giuseppe Del Core,DEL CORE,G,comma,no
44,"VACCARO, C",C Vaccaro,VACCARO,C,comma,no
45,"D'AVANZO, M",M D'Avanzo,D AVANZO,M,comma,no
46,"GERVASONI, P",P Gervasoni,GERVASONI,P,comma,no
47,"COZZOLINO, T",T Cozzolino,COZZOLINO,T,comma,no
48,s,S,S,,single,no
49,s,S,S,,single,no
50,"Nocerino, E",Erica Nocerino,NOCERINO,E,comma,no
51,"Troisi, S",Salvatore Troisi,TROISI,S,comma,no
52,"PETOVELLO, M",M Petovello,PETOVELLO,M,comma,no
53,"ACKERMANN, S",S. Ackermann,ACKERMANN,S,comma,no
54,"DEL PIZZO, S",Silvio Del Pizzo,DEL PIZZO,S,comma,no
55,"MASSARO, M",Marco Massaro,MASSARO,M,comma,no
56,"De Simone, A",A De Simone,DE SIMONE,A,comma,no
57,"PERROTTA, L",L. Perrotta,PERROTTA,L,comma,no
58,"Angrisano, Antonio",Antonio Angrisano,ANGRISANO,A,comma,no
59,"Gaglione, Salvatore",Salvatore Gaglione,GAGLIONE,S,comma,no
60,"Gioia, Ciro",Ciro Gioia,GIOIA,C,comma,no
61,"Massaro, Marco",Marco Massaro,MASSARO,M,comma,no
62,"Robustelli, Umberto",Umberto Robustelli,ROBUSTELLI,U,comma,no
63,Del Core G.,Giuseppe Del Core,DEL CORE,G,initial-last,no
64,"Del Core, Giuseppe",Giuseppe Del Core,DEL CORE,G,comma,no
65,Angrisano,Angrisano,ANGRISANO,,single,no
66,Gaglione,Gaglione,GAGLIONE,,single,no
67,Gioia,Gioia,GIOIA,,single,no
68,Borio,Borio,BORIO,,single,no
69,Fortuny-Guasch,Fortuny-Guasch,FORTUNY GUASCH,,single,no
70,A. Angrisano,Antonio Angrisano,ANGRISANO,A,initial-first,no
71,S. Gaglione,Salvatore Gaglione,GAGLIONE,S,initial-first,no
72,C. Gioia,Ciro Gioia,GIOIA,C,initial-first,no
73,D. Borio,Daniele Borio,BORIO,D,initial-first,no
74,J. Fortuny-Guasch,Joaquim Fortuny-Guasch,FORTUNY GUASCH,J,initial-first,no
75,"Ackermann, S.",S. Ackermann,ACKERMANN,S,comma,no
76,"Angrisano, A.",Antonio Angrisano,ANGRISANO,A,comma,no
77,"Del Pizzo, S.",Silvio Del Pizzo,DEL PIZZO,S,comma,no
78,"Gaglione, S.",Salvatore Gaglione,GAGLIONE,S,comma,no
79,"Gioia, C.",Ciro Gioia,GIOIA,C,comma,no
80,"Troisi, S.",Salvatore Troisi,TROISI,S,comma,no
81,Giuseppe Rotondo,Giuseppe Rotondo,ROTONDO,G,given-first-default,no
82,Aniello De Luca,Aniello De Luca,LUCA,A,given-first-default,no
83,Gaetano Castaldo,Gaetano Castaldo,CASTALDO,G,given-first,no
84,Ciro Gioia,Ciro Gioia,GIOIA,C,given-first,no
85,"Troisi, Salvatore",Salvatore Troisi,TROISI,S,comma,no
86,"Borio, Daniele",Daniele Borio,BORIO,D,comma,no
87,"Fortuny-Guasch, Joaquim",Joaquim Fortuny-Guasch,FORTUNY GUASCH,J,comma,no
88,"Freda, Pierluigi",Pierluigi Freda,FREDA,P,comma,no
89,"Castaldo, Gaetano",Gaetano Castaldo,CASTALDO,G,comma,no
90,"Del Pizzo, Silvio",Silvio Del Pizzo,DEL PIZZO,S,comma,no
91,Salvatore Gaglione,Salvatore Gaglione,GAGLIONE,S,given-first,no
92,Troisi S.,Salvatore Troisi,TROISI,S,initial-last,no
93,Del Pizzo S.,Silvio Del Pizzo,DEL PIZZO,S,initial-last,no
94,Miccio A.,A Miccio,MICCIO,A,initial-last,no
95,Testa R. L.,L. Testa R.,TESTA R,L,initial-last,no
96,"Miccio, A",A Miccio,MICCIO,A,comma,no
97,"Testa, R L",Rosa Linda Testa,TESTA,R,comma,yes
98,"Freda, P.",Pierluigi Freda,FREDA,P,comma,no
99,"Innac, A.",Anna Innac,INNAC,A,comma,no
100,"Vultaggio, M.",Mario Vultaggio,VULTAGGIO,M,comma,no
