publication_id,year,date,title,authors,pang_faculty_authors,document_type,source_title,tertiary_title,publisher,place_published,volume,issue,pages,doi,doi_normalized,issn,isbn,url,abstract,language,source,legacy_nid,legacy_status,include_in_master,data_quality_flags,scopus_eid,verification_status,verification_source_url
scopus-10-1109-taes-2025-3619912,2026,,A Split Pulse Fusion Method for Radar Reconnaissance,Ronghua Guo; Yang-Yang Dong; Dan Bao; Chunxi Dong; Sergio Vitale; Giampaolo Ferraioli; Vito Pascazio; Wenbo Li; Zhiyuan Li,Giampaolo Ferraioli,Journal Article,IEEE Transactions on Aerospace and Electronic Systems,,,,62,,217-233,10.1109/TAES.2025.3619912,10.1109/taes.2025.3619912,,,https://doi.org/10.1109/TAES.2025.3619912,,,scopus,,,yes,,,verified_scopus,https://www.sciencedirect.com/author/7003486376/vito-pascazio
scopus-10-3390-automation7020036,2026,2026-02-25,Intelligent Tomato Leaf Disease Detection and Automated Spray Prescription Using YOLOv9: A Smart Agriculture Approach,Shahab Ul Islam; Giampaolo Ferraioli; Ghassan Husnain; Abdul Waheed; Vito Pascazio,Giampaolo Ferraioli,Journal Article,Automation,,,,7,2,36,10.3390/automation7020036,10.3390/automation7020036,,,https://doi.org/10.3390/automation7020036,,,scopus,,,yes,,,verified_scopus,https://www.sciencedirect.com/author/7003486376/vito-pascazio
scopus-10-1016-j-oceaneng-2025-123471,2026,2026-01-15,Sea state reconstruction based on the Spearman rank correlation using full-scale data from a containership,Silvia Ascione; Ulrik D. Nielsen; Vincenzo Piscopo; Gaute Storhaug,Vincenzo Piscopo,Journal Article,Ocean Engineering,,,,343,Part 4,123471,10.1016/j.oceaneng.2025.123471,10.1016/j.oceaneng.2025.123471,,,https://doi.org/10.1016/j.oceaneng.2025.123471,,,scopus,,,yes,,,verified_scopus,https://www.sciencedirect.com/author/57224792997/ulrik-dam-nielsen
scopus-10-1109-lgrs-2026-3659009,2026,,Sentinel-1 Ground Truth Dataset for Coastline Extraction,Gianpaolo Passarello; Sergio Vitale; Giampaolo Ferraioli; Vito Pascazio,Giampaolo Ferraioli,Journal Article,IEEE Geoscience and Remote Sensing Letters,,,,23,,,10.1109/LGRS.2026.3659009,10.1109/lgrs.2026.3659009,,,https://doi.org/10.1109/LGRS.2026.3659009,,,scopus,,,yes,,,verified_scopus,https://www.sciencedirect.com/author/7003486376/vito-pascazio
scopus-10-1109-lgrs-2025-3555441,2025,,A Deep Learning Solution for Phase Screen Estimation in SAR Tomography,Hossein Aghababaei; Giampaolo Ferraioli; Sergio Vitale; Alfred Stein,Giampaolo Ferraioli,Journal Article,IEEE Geoscience and Remote Sensing Letters,,,,22,,4007605,10.1109/LGRS.2025.3555441,10.1109/lgrs.2025.3555441,,,https://doi.org/10.1109/LGRS.2025.3555441,,,scopus,,,yes,,,verified_scopus_indirect,https://research.utwente.nl/en/publications/a-deep-learning-solution-for-phase-screen-estimation-in-sar-tomog/
scopus-10-1109-metroaerospace64938-2025-11114485,2025,,"A Micro Radar-Based Low-Cost Solution for Positioning and Detection, and Avoidance System",Gennaro Ariante; Lucie Rocquelain; Salvatore Gaglione; Silvio Del Pizzo; Giuseppe Del Core,Salvatore Gaglione; Silvio Del Pizzo,Conference Paper,"2025 IEEE International Workshop on Metrology for AeroSpace, MetroAeroSpace 2025 - Proceedings",,,,,,,10.1109/MetroAeroSpace64938.2025.11114485,10.1109/metroaerospace64938.2025.11114485,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105015377060&doi=10.1109%2fMetroAeroSpace64938.2025.11114485&partnerID=40&md5=03287e527efef9f4adf9d23e9c84507f,,,scopus,,,yes,,2-s2.0-105015377060,verified_scopus,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105015377060&doi=10.1109%2fMetroAeroSpace64938.2025.11114485&partnerID=40&md5=03287e527efef9f4adf9d23e9c84507f
scopus-10-1016-j-oceaneng-2025-121579,2025,,"A numerical model of ship manoeuvring for the KVLCC2 hull, in regular and long-crested irregular waves",Maria Acanfora; Marco Altosole; Silvia Pennino,Silvia Pennino,Journal Article,Ocean Engineering,,,,333,,121579,10.1016/j.oceaneng.2025.121579,10.1016/j.oceaneng.2025.121579,,,https://doi.org/10.1016/j.oceaneng.2025.121579,,,scopus,,,yes,,,verified_scopus,https://ouci.dntb.gov.ua/works/9Gmm8Yyx/
scopus-10-1109-metrosea66681-2025-11245754,2025,,"Advancing Offshore Renewable Energy in the Mediterranean Sea: Digital-Med, a Project for Integrating Resource Assessment and Decision Support",Silvio Del Pizzo; Salvatore Gaglione; Pier Paolo Amoroso; Pasquale Contestabile; Yuri Cotroneo; Francesco Giuseppe Figliomeni; Diego Vicinanza; Giorgio Budillon,Silvio Del Pizzo; Salvatore Gaglione,Conference Paper,"2025 IEEE International Workshop on Metrology for the Sea; Learning to Measure Sea Health Parameters, MetroSea 2025 - Proceedings",,,,,,,10.1109/MetroSea66681.2025.11245754,10.1109/metrosea66681.2025.11245754,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105029542122&doi=10.1109%2fMetroSea66681.2025.11245754&partnerID=40&md5=deea9b4f945a9ec20267bce45c30d977,,,scopus,,,yes,,2-s2.0-105029542122,verified_scopus,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105029542122&doi=10.1109%2fMetroSea66681.2025.11245754&partnerID=40&md5=deea9b4f945a9ec20267bce45c30d977
scopus-10-1109-igarss55030-2025-11243038,2025,2025-08,An Open-Access Cross-Modal Forest Benchmark Training Dataset With Sentinel-1 and Lidar data,Hossein Aghababaei; Giampaolo Ferraioli; Gilda Schirinzi; Erkki Tomppo; Jaan Praks,Giampaolo Ferraioli,Conference Paper,IGARSS 2025 - 2025 IEEE International Geoscience and Remote Sensing Symposium,,,,,,3588-3591,10.1109/IGARSS55030.2025.11243038,10.1109/igarss55030.2025.11243038,,,https://www.scopus.com/pages/publications/105034117757,,,scopus,,,yes,,2-s2.0-105034117757,verified_scopus,https://research.aalto.fi/en/publications/an-open-access-cross-modal-forest-benchmark-training-dataset-with/
scopus-10-1016-j-oceaneng-2025-122258,2025,2025-11-30,Assessment of bimodal sea states by the wave buoy analogy method,Vincenzo Piscopo; Silvia Ascione; Antonio Scamardella,Vincenzo Piscopo; Antonio Scamardella,Journal Article,Ocean Engineering,,,,340,Part 1,122258,10.1016/j.oceaneng.2025.122258,10.1016/j.oceaneng.2025.122258,,,https://doi.org/10.1016/j.oceaneng.2025.122258,,,scopus,,,yes,,,verified_scopus,https://www.sciencedirect.com/author/6507257720/v-piscopo
