publication_id,year,date,title,authors,pang_faculty_authors,document_type,source_title,volume,issue,pages,doi,scopus_eid,scopus_url,source_url,verification_status,verification_evidence,include_in_master,notes
scopus-10-1109-taes-2025-3619912,2026,,A Split Pulse Fusion Method for Radar Reconnaissance,Ronghua Guo; Yang-Yang Dong; Dan Bao; Chunxi Dong; Sergio Vitale; Giampaolo Ferraioli; Vito Pascazio; Wenbo Li; Zhiyuan Li,Giampaolo Ferraioli,Journal Article,IEEE Transactions on Aerospace and Electronic Systems,62,,217-233,10.1109/TAES.2025.3619912,,,https://www.sciencedirect.com/author/7003486376/vito-pascazio,verified_scopus,ScienceDirect author page labels the publication “Scopus Article”.,yes,
scopus-10-3390-geomatics6010004,2026,2026-01-10,Evaluating Neural Radiance Fields for Image-Based 3D Reconstruction: A Comparative Study with SfM-MVS,Alessia Giaquinto; Giampaolo Ferraioli; Silvio Del Pizzo,Giampaolo Ferraioli; Silvio Del Pizzo,Journal Article,Geomatics,6,1,4,10.3390/geomatics6010004,,,https://www.mdpi.com/2673-7418/6/1/4,pending_scopus,Publisher record confirmed; direct Scopus record/EID not yet retrieved.,no,
scopus-10-3390-automation7020036,2026,2026-02-25,Intelligent Tomato Leaf Disease Detection and Automated Spray Prescription Using YOLOv9: A Smart Agriculture Approach,Shahab Ul Islam; Giampaolo Ferraioli; Ghassan Husnain; Abdul Waheed; Vito Pascazio,Giampaolo Ferraioli,Journal Article,Automation,7,2,36,10.3390/automation7020036,,,https://www.sciencedirect.com/author/7003486376/vito-pascazio,verified_scopus,ScienceDirect author page lists the Automation 2026 record as “Scopus Article”.,yes,
scopus-10-3390-engproc2026126010,2026,2026-02-11,On the Context-Aware GNSS Navigation: Test of a k-Nearest Neighbors Classifier in Different Environments,Giovanni Cappello; Antonio Angrisano; Ciro Gioia; Antonio Maratea; Salvatore Gaglione,Salvatore Gaglione,Conference Paper,Engineering Proceedings,126,1,10,10.3390/engproc2026126010,,,https://www.mdpi.com/2673-4591/126/1/10,pending_scopus,Publisher record confirmed; direct Scopus record/EID not yet retrieved.,no,
scopus-10-1016-j-oceaneng-2025-123471,2026,2026-01-15,Sea state reconstruction based on the Spearman rank correlation using full-scale data from a containership,Silvia Ascione; Ulrik D. Nielsen; Vincenzo Piscopo; Gaute Storhaug,Vincenzo Piscopo,Journal Article,Ocean Engineering,343,Part 4,123471,10.1016/j.oceaneng.2025.123471,,,https://www.sciencedirect.com/author/57224792997/ulrik-dam-nielsen,verified_scopus,ScienceDirect author page provides “View details in Scopus” for this article.,yes,
scopus-10-1109-lgrs-2026-3659009,2026,,Sentinel-1 Ground Truth Dataset for Coastline Extraction,Gianpaolo Passarello; Sergio Vitale; Giampaolo Ferraioli; Vito Pascazio,Giampaolo Ferraioli,Journal Article,IEEE Geoscience and Remote Sensing Letters,23,,,10.1109/LGRS.2026.3659009,,,https://www.sciencedirect.com/author/7003486376/vito-pascazio,verified_scopus,ScienceDirect author page labels the publication “Scopus Article”.,yes,
scopus-10-1109-lgrs-2025-3555441,2025,,A Deep Learning Solution for Phase Screen Estimation in SAR Tomography,Hossein Aghababaei; Giampaolo Ferraioli; Sergio Vitale; Alfred Stein,Giampaolo Ferraioli,Journal Article,IEEE Geoscience and Remote Sensing Letters,22,,4007605,10.1109/LGRS.2025.3555441,,,https://research.utwente.nl/en/publications/a-deep-learning-solution-for-phase-screen-estimation-in-sar-tomog/,verified_scopus_indirect,University of Twente research portal exposes Scopus citation data for the publication.,yes,
scopus-10-1109-metroaerospace64938-2025-11114485,2025,,"A Micro Radar-Based Low-Cost Solution for Positioning and Detection, and Avoidance System",Gennaro Ariante; Lucie Rocquelain; Salvatore Gaglione; Silvio Del Pizzo; Giuseppe Del Core,Salvatore Gaglione; Silvio Del Pizzo,Conference Paper,"2025 IEEE International Workshop on Metrology for AeroSpace, MetroAeroSpace 2025 - Proceedings",,,,10.1109/MetroAeroSpace64938.2025.11114485,2-s2.0-105015377060,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105015377060&doi=10.1109%2fMetroAeroSpace64938.2025.11114485&partnerID=40&md5=03287e527efef9f4adf9d23e9c84507f,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105015377060&doi=10.1109%2fMetroAeroSpace64938.2025.11114485&partnerID=40&md5=03287e527efef9f4adf9d23e9c84507f,verified_scopus,Direct Scopus inward URL/EID stored in the legacy Drupal record.,yes,Recovered from Drupal 2025; treated as Scopus source for the new master.
scopus-10-1016-j-oceaneng-2025-121579,2025,,"A numerical model of ship manoeuvring for the KVLCC2 hull, in regular and long-crested irregular waves",Maria Acanfora; Marco Altosole; Silvia Pennino,Silvia Pennino,Journal Article,Ocean Engineering,333,,121579,10.1016/j.oceaneng.2025.121579,,,https://ouci.dntb.gov.ua/works/9Gmm8Yyx/,verified_scopus,OUCI record explicitly marks the article as indexed in Scopus.,yes,
scopus-10-1109-metrosea66681-2025-11245754,2025,,"Advancing Offshore Renewable Energy in the Mediterranean Sea: Digital-Med, a Project for Integrating Resource Assessment and Decision Support",Silvio Del Pizzo; Salvatore Gaglione; Pier Paolo Amoroso; Pasquale Contestabile; Yuri Cotroneo; Francesco Giuseppe Figliomeni; Diego Vicinanza; Giorgio Budillon,Silvio Del Pizzo; Salvatore Gaglione,Conference Paper,"2025 IEEE International Workshop on Metrology for the Sea; Learning to Measure Sea Health Parameters, MetroSea 2025 - Proceedings",,,,10.1109/MetroSea66681.2025.11245754,2-s2.0-105029542122,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105029542122&doi=10.1109%2fMetroSea66681.2025.11245754&partnerID=40&md5=deea9b4f945a9ec20267bce45c30d977,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105029542122&doi=10.1109%2fMetroSea66681.2025.11245754&partnerID=40&md5=deea9b4f945a9ec20267bce45c30d977,verified_scopus,Direct Scopus inward URL/EID stored in the legacy Drupal record.,yes,Recovered from Drupal 2025; treated as Scopus source for the new master.
